#Navio B MarAd
#Manobra de Curva                     de Zig-Zag
#
#velocidade no Sistema Solidário 
#
#temp           u           v           w dot                     roll   dot pitch     dot yaw 
 61.60        7.72399e+00        -1.07426e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.61694e-03 
 62.30        7.71240e+00        -1.08586e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.67115e-03 
 63.00        7.70067e+00        -1.09735e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.72429e-03 
 63.70        7.68879e+00        -1.10871e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.77638e-03 
 64.40        7.67677e+00        -1.11995e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.82741e-03 
 65.10        7.66462e+00        -1.13106e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.87738e-03 
 65.80        7.65232e+00        -1.14204e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.92630e-03 
 66.50        7.63989e+00        -1.15289e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.97417e-03 
 67.20        7.62732e+00        -1.16362e+00        0.00000e+00        0.00000e+00        0.00000e+00        9.02099e-03 
 67.90        7.61461e+00        -1.17421e+00        0.00000e+00        0.00000e+00        0.00000e+00        9.06677e-03 
 68.60        7.60178e+00        -1.18467e+00        0.00000e+00        0.00000e+00        0.00000e+00        9.11151e-03 
 69.30        7.58881e+00        -1.18073e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.84580e-03 
 70.00        7.57626e+00        -1.17648e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.58829e-03 
 70.70        7.56411e+00        -1.17195e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.33864e-03 
 71.40        7.55235e+00        -1.16713e+00        0.00000e+00        0.00000e+00        0.00000e+00        8.09654e-03 
 72.10        7.54097e+00        -1.16206e+00        0.00000e+00        0.00000e+00        0.00000e+00        7.86169e-03 
 72.80        7.52996e+00        -1.15673e+00        0.00000e+00        0.00000e+00        0.00000e+00        7.63379e-03 
 73.50        7.51931e+00        -1.15116e+00        0.00000e+00        0.00000e+00        0.00000e+00        7.41258e-03 
 74.20        7.50900e+00        -1.14536e+00        0.00000e+00        0.00000e+00        0.00000e+00        7.19779e-03 
 74.90        7.49904e+00        -1.13935e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.98916e-03 
 75.60        7.48940e+00        -1.13313e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.78646e-03 
 76.30        7.48008e+00        -1.12671e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.58944e-03 
 77.00        7.47107e+00        -1.12010e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.39790e-03 
 77.70        7.46236e+00        -1.11332e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.21161e-03 
 78.40        7.45394e+00        -1.10636e+00        0.00000e+00        0.00000e+00        0.00000e+00        6.03038e-03 
 79.10        7.44581e+00        -1.09924e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.85399e-03 
 79.80        7.43795e+00        -1.09196e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.68227e-03 
 80.50        7.43035e+00        -1.08453e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.51503e-03 
 81.20        7.42302e+00        -1.07696e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.35210e-03 
 81.90        7.41594e+00        -1.06926e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.19331e-03 
 82.60        7.40910e+00        -1.06143e+00        0.00000e+00        0.00000e+00        0.00000e+00        5.03851e-03 
 83.30        7.40249e+00        -1.05347e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.88753e-03 
 84.00        7.39612e+00        -1.04540e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.74023e-03 
 84.70        7.38997e+00        -1.03721e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.59646e-03 
 85.40        7.38403e+00        -1.02892e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.45610e-03 
 86.10        7.37830e+00        -1.02052e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.31900e-03 
 86.80        7.37278e+00        -1.01203e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.18505e-03 
 87.50        7.36745e+00        -1.00344e+00        0.00000e+00        0.00000e+00        0.00000e+00        4.05411e-03 
 88.20        7.36232e+00        -9.94759e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.92608e-03 
 88.90        7.35737e+00        -9.85995e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.80084e-03 
 89.60        7.35259e+00        -9.77149e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.67828e-03 
 90.30        7.34800e+00        -9.68224e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.55829e-03 
 91.00        7.34357e+00        -9.59224e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.44078e-03 
 91.70        7.33931e+00        -9.50151e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.32566e-03 
 92.40        7.33520e+00        -9.41009e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.21281e-03 
 93.10        7.33125e+00        -9.31800e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.10217e-03 
 93.80        7.32745e+00        -9.22528e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.99363e-03 
 94.50        7.32380e+00        -9.13193e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.88712e-03 
 95.20        7.32028e+00        -9.03800e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.78255e-03 
 95.90        7.31690e+00        -8.94349e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.67986e-03 
 96.60        7.31366e+00        -8.84844e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.57895e-03 
 97.30        7.31054e+00        -8.75285e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.47976e-03 
 98.00        7.30755e+00        -8.65675e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.38223e-03 
 98.70        7.30468e+00        -8.56016e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.28628e-03 
 99.40        7.30192e+00        -8.46308e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.19184e-03 
 100.10        7.29928e+00        -8.36554e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.09886e-03 
 100.80        7.29675e+00        -8.26754e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.00728e-03 
 101.50        7.29432e+00        -8.16911e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.91703e-03 
 102.20        7.29200e+00        -8.07024e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.82805e-03 
 102.90        7.28978e+00        -7.97096e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.74031e-03 
 103.60        7.28766e+00        -7.87127e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.65373e-03 
 104.30        7.28563e+00        -7.77118e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.56827e-03 
 105.00        7.28369e+00        -7.67069e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.48388e-03 
 105.70        7.28183e+00        -7.56983e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.40051e-03 
 106.40        7.28007e+00        -7.46858e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.31812e-03 
 107.10        7.27838e+00        -7.36696e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.23665e-03 
 107.80        7.27678e+00        -7.26498e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.15607e-03 
 108.50        7.27525e+00        -7.16263e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.07633e-03 
 109.20        7.27380e+00        -7.05992e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.97394e-04 
 109.90        7.27242e+00        -6.95685e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.19218e-04 
 110.60        7.27111e+00        -6.85342e-01        0.00000e+00        0.00000e+00        0.00000e+00        8.41764e-04 
 111.30        7.26987e+00        -6.74964e-01        0.00000e+00        0.00000e+00        0.00000e+00        7.64995e-04 
 112.00        7.26869e+00        -6.64551e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.88874e-04 
 112.70        7.26758e+00        -6.54103e-01        0.00000e+00        0.00000e+00        0.00000e+00        6.13365e-04 
 113.40        7.26652e+00        -6.43619e-01        0.00000e+00        0.00000e+00        0.00000e+00        5.38433e-04 
 114.10        7.26552e+00        -6.33100e-01        0.00000e+00        0.00000e+00        0.00000e+00        4.64045e-04 
 114.80        7.26458e+00        -6.22545e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.90167e-04 
 115.50        7.26370e+00        -6.11954e-01        0.00000e+00        0.00000e+00        0.00000e+00        3.16767e-04 
 116.20        7.26286e+00        -6.01327e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.43815e-04 
 116.90        7.26208e+00        -5.90664e-01        0.00000e+00        0.00000e+00        0.00000e+00        1.71280e-04 
 117.60        7.26134e+00        -5.79964e-01        0.00000e+00        0.00000e+00        0.00000e+00        9.91310e-05 
 118.30        7.26065e+00        -5.69227e-01        0.00000e+00        0.00000e+00        0.00000e+00        2.73402e-05 
 119.00        7.26000e+00        -5.58453e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.41212e-05 
 119.70        7.25940e+00        -5.47623e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.15282e-04 
 120.40        7.25883e+00        -5.36729e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.86168e-04 
 121.10        7.25830e+00        -5.25771e-01        0.00000e+00        0.00000e+00        0.00000e+00        -2.56809e-04 
 121.80        7.25781e+00        -5.14751e-01        0.00000e+00        0.00000e+00        0.00000e+00        -3.27229e-04 
 122.50        7.25735e+00        -5.03669e-01        0.00000e+00        0.00000e+00        0.00000e+00        -3.97455e-04 
 123.20        7.25693e+00        -4.92526e-01        0.00000e+00        0.00000e+00        0.00000e+00        -4.67513e-04 
 123.90        7.25653e+00        -4.81323e-01        0.00000e+00        0.00000e+00        0.00000e+00        -5.37426e-04 
 124.60        7.25617e+00        -4.70062e-01        0.00000e+00        0.00000e+00        0.00000e+00        -6.07218e-04 
 125.30        7.25583e+00        -4.58741e-01        0.00000e+00        0.00000e+00        0.00000e+00        -6.76914e-04 
 126.00        7.25551e+00        -4.47363e-01        0.00000e+00        0.00000e+00        0.00000e+00        -7.46535e-04 
 126.70        7.25522e+00        -4.35928e-01        0.00000e+00        0.00000e+00        0.00000e+00        -8.16104e-04 
 127.40        7.25495e+00        -4.24436e-01        0.00000e+00        0.00000e+00        0.00000e+00        -8.85644e-04 
 128.10        7.25470e+00        -4.12887e-01        0.00000e+00        0.00000e+00        0.00000e+00        -9.55175e-04 
 128.80        7.25447e+00        -4.01283e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.02472e-03 
 129.50        7.25425e+00        -3.89623e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.09429e-03 
 130.20        7.25405e+00        -3.77908e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.16392e-03 
 130.90        7.25386e+00        -3.66138e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.23362e-03 
 131.60        7.25368e+00        -3.54313e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.30342e-03 
 132.30        7.25351e+00        -3.42434e-01        0.00000e+00        0.00000e+00        0.00000e+00        -1.37332e-03 
